YYYY-MM-DD,daily_rain,max_temp,min_temp,anomaly_isoforest
19/05/1978,13.03333333,16.14444444,13.0,-1
12/06/1978,12.92222222,13.97777778,9.144444444,-1
14/06/1978,6.022222222,11.8,5.288888889,-1
15/06/1978,1.488888889,10.7,4.5,-1
29/06/1978,16.54444444,16.92222222,10.83333333,-1
3/07/1978,29.41111111,12.87777778,8.955555556,-1
10/07/1978,18.55555556,14.16666667,9.288888889,-1
11/07/1978,6.977777778,10.17777778,4.922222222,-1
13/07/1978,0.0,13.37777778,-2.133333333,-1
9/08/1978,15.4,13.5,8.277777778,-1
14/08/1978,0.122222222,14.86666667,-1.066666667,-1
18/08/1978,0.7,13.72222222,-0.011111111,-1
19/08/1978,5.811111111,11.66666667,7.411111111,-1
29/08/1978,9.233333333,13.42222222,9.7,-1
1/09/1978,20.16666667,20.62222222,9.166666667,-1
6/09/1978,10.68888889,15.84444444,11.84444444,-1
7/09/1978,22.91111111,16.84444444,12.88888889,-1
8/09/1978,6.233333333,14.5,7.133333333,-1
16/10/1978,23.9,23.48888889,13.8,-1
2/11/1978,32.31111111,21.83333333,15.02222222,-1
10/12/1978,18.81111111,27.47777778,14.97777778,-1
27/12/1978,32.16666667,25.88888889,17.72222222,-1
30/12/1978,28.03333333,24.71111111,17.36666667,-1
19/01/1979,24.85555556,25.27777778,18.96666667,-1
24/01/1979,26.06666667,25.41111111,18.17777778,-1
6/02/1979,20.77777778,22.04444444,17.56666667,-1
10/02/1979,20.82222222,26.7,16.53333333,-1
4/03/1979,25.52222222,21.64444444,16.47777778,-1
16/03/1979,49.35555556,20.95555556,14.96666667,-1
9/04/1979,27.53333333,25.53333333,16.54444444,-1
21/06/1979,49.41111111,15.93333333,12.58888889,-1
22/06/1979,11.03333333,14.51111111,9.611111111,-1
29/07/1979,3.822222222,12.96666667,3.844444444,-1
30/07/1979,25.77777778,15.44444444,5.255555556,-1
9/11/1979,17.78888889,17.85555556,13.42222222,-1
12/11/1979,25.62222222,27.07777778,15.87777778,-1
10/01/1980,12.85555556,32.5,14.96666667,-1
12/01/1980,1.4,36.02222222,22.58888889,-1
19/01/1980,0.0,39.32222222,21.12222222,-1
20/01/1980,0.0,37.13333333,21.73333333,-1
26/01/1980,1.066666667,37.61111111,20.96666667,-1
27/01/1980,13.41111111,30.01111111,19.15555556,-1
28/01/1980,26.77777778,26.68888889,17.45555556,-1
6/02/1980,57.88888889,30.84444444,20.11111111,-1
29/05/1980,34.03333333,17.83333333,10.1,-1
7/07/1980,0.0,12.98888889,-3.011111111,-1
8/07/1980,0.0,14.47777778,-3.177777778,-1
